ticket_no,request_id,requestor_seniority,filed_against,ticket_type,severity,priority,max_day,severity_score,priority_score,risk_score,high_risk
1,1929,1 - Junior,Systems,Issue,2 - Normal,0 - Unassigned,3,2,0,6,0
2,1587,2 - Regular,Software,Request,1 - Minor,1 - Low,5,1,1,6,0
3,925,2 - Regular,Access/Login,Request,2 - Normal,0 - Unassigned,0,2,0,0,0
4,413,4 - Management,Systems,Request,2 - Normal,0 - Unassigned,20,2,0,40,1
5,318,1 - Junior,Access/Login,Request,2 - Normal,1 - Low,1,2,1,3,0
6,858,4 - Management,Access/Login,Request,2 - Normal,3 - High,0,2,3,3,0
7,1978,3 - Senior,Systems,Request,2 - Normal,3 - High,9,2,3,21,1
8,1209,4 - Management,Software,Request,2 - Normal,0 - Unassigned,15,2,0,30,1
9,887,2 - Regular,Software,Request,2 - Normal,2 - Medium,6,2,2,14,1
10,1780,3 - Senior,Access/Login,Request,2 - Normal,1 - Low,1,2,1,3,0
11,1349,3 - Senior,Software,Request,2 - Normal,3 - High,7,2,3,17,1
12,1893,2 - Regular,Systems,Request,2 - Normal,1 - Low,17,2,1,35,1
13,645,2 - Regular,Systems,Request,2 - Normal,3 - High,10,2,3,23,1
14,1492,4 - Management,Systems,Issue,2 - Normal,3 - High,4,2,3,11,1
15,1978,3 - Senior,Software,Issue,2 - Normal,0 - Unassigned,7,2,0,14,1
16,216,4 - Management,Software,Request,2 - Normal,0 - Unassigned,11,2,0,22,1
17,1586,2 - Regular,Access/Login,Request,2 - Normal,0 - Unassigned,0,2,0,0,0
18,1554,2 - Regular,Systems,Request,2 - Normal,2 - Medium,7,2,2,16,1
19,518,4 - Management,Systems,Request,2 - Normal,0 - Unassigned,7,2,0,14,1
20,903,3 - Senior,Access/Login,Request,2 - Normal,3 - High,0,2,3,3,0
21,588,4 - Management,Systems,Request,2 - Normal,3 - High,6,2,3,15,1
22,650,2 - Regular,Systems,Request,2 - Normal,2 - Medium,6,2,2,14,1
23,1435,3 - Senior,Systems,Request,2 - Normal,2 - Medium,14,2,2,30,1
24,1980,4 - Management,Access/Login,Request,2 - Normal,3 - High,0,2,3,3,0
25,916,4 - Management,Hardware,Request,2 - Normal,3 - High,13,2,3,29,1
26,86,2 - Regular,Software,Issue,2 - Normal,0 - Unassigned,3,2,0,6,0
27,24,4 - Management,Access/Login,Request,2 - Normal,0 - Unassigned,0,2,0,0,0
28,107,2 - Regular,Systems,Request,2 - Normal,0 - Unassigned,5,2,0,10,0
29,197,2 - Regular,Systems,Request,2 - Normal,2 - Medium,20,2,2,42,1
30,233,2 - Regular,Access/Login,Request,2 - Normal,3 - High,1,2,3,5,0
31,1574,1 - Junior,Systems,Request,2 - Normal,1 - Low,14,2,1,29,1
32,1706,2 - Regular,Systems,Request,2 - Normal,3 - High,13,2,3,29,1
33,496,2 - Regular,Systems,Request,2 - Normal,3 - High,7,2,3,17,1
34,1151,2 - Regular,Systems,Request,2 - Normal,1 - Low,5,2,1,11,1
35,1618,4 - Management,Access/Login,Issue,3 - Major,0 - Unassigned,0,3,0,0,0
36,1916,4 - Management,Access/Login,Request,2 - Normal,3 - High,0,2,3,3,0
37,82,2 - Regular,Systems,Request,2 - Normal,3 - High,5,2,3,13,1
38,341,3 - Senior,Access/Login,Request,2 - Normal,0 - Unassigned,0,2,0,0,0
39,1887,4 - Management,Access/Login,Request,2 - Normal,3 - High,0,2,3,3,0
40,16,4 - Management,Systems,Request,2 - Normal,3 - High,11,2,3,25,1
41,1222,2 - Regular,Access/Login,Request,2 - Normal,2 - Medium,2,2,2,6,0
42,755,3 - Senior,Systems,Request,2 - Normal,0 - Unassigned,5,2,0,10,0
43,1961,4 - Management,Access/Login,Issue,2 - Normal,0 - Unassigned,0,2,0,0,0
44,1350,2 - Regular,Hardware,Request,2 - Normal,2 - Medium,13,2,2,28,1
45,1704,2 - Regular,Systems,Issue,2 - Normal,2 - Medium,3,2,2,8,0
46,1865,3 - Senior,Access/Login,Request,2 - Normal,0 - Unassigned,0,2,0,0,0
47,822,2 - Regular,Software,Request,2 - Normal,3 - High,5,2,3,13,1
48,1595,3 - Senior,Access/Login,Request,2 - Normal,0 - Unassigned,0,2,0,0,0
49,1270,1 - Junior,Access/Login,Issue,4 - Critical,3 - High,0,4,3,3,0
50,1166,1 - Junior,Systems,Request,2 - Normal,2 - Medium,6,2,2,14,1
51,207,4 - Management,Systems,Request,2 - Normal,0 - Unassigned,23,2,0,46,1
52,1758,2 - Regular,Software,Request,2 - Normal,3 - High,7,2,3,17,1
53,1506,1 - Junior,Access/Login,Request,2 - Normal,0 - Unassigned,0,2,0,0,0
54,953,2 - Regular,Systems,Request,2 - Normal,3 - High,10,2,3,23,1
55,1246,2 - Regular,Systems,Request,2 - Normal,0 - Unassigned,8,2,0,16,1
56,1219,2 - Regular,Access/Login,Request,2 - Normal,3 - High,0,2,3,3,0
57,1726,3 - Senior,Access/Login,Issue,2 - Normal,3 - High,0,2,3,3,0
58,1271,2 - Regular,Systems,Issue,2 - Normal,3 - High,9,2,3,21,1
59,1794,2 - Regular,Access/Login,Issue,2 - Normal,3 - High,0,2,3,3,0
60,1289,1 - Junior,Systems,Request,2 - Normal,1 - Low,14,2,1,29,1
61,469,2 - Regular,Systems,Request,2 - Normal,2 - Medium,14,2,2,30,1
62,846,3 - Senior,Software,Request,2 - Normal,3 - High,5,2,3,13,1
63,1021,2 - Regular,Access/Login,Request,2 - Normal,0 - Unassigned,0,2,0,0,0
64,39,4 - Management,Access/Login,Request,2 - Normal,3 - High,0,2,3,3,0
65,1579,2 - Regular,Systems,Request,2 - Normal,0 - Unassigned,5,2,0,10,0
66,1811,1 - Junior,Systems,Request,2 - Normal,0 - Unassigned,26,2,0,52,1
67,1142,2 - Regular,Access/Login,Request,1 - Minor,1 - Low,0,1,1,1,0
68,479,2 - Regular,Software,Request,1 - Minor,2 - Medium,13,1,2,15,1
69,1941,2 - Regular,Software,Request,4 - Critical,3 - High,3,4,3,15,1
70,995,4 - Management,Access/Login,Request,2 - Normal,0 - Unassigned,0,2,0,0,0
